Index,Word,Meaning,Synonyms,Conjugation
9278,mlipu,mti mwembamba wenye shina jeupe na majani madogo na ambao mizizi yake ni dawa ya uvimbe,,
9279,mlipuko,"mpasuko wa kitu kwa mfano baruti, bomu au moto unaowaka ghafla na kwa wingi | kuzuka na kuenea kwa janga kwa mfano ugonjwa kwa muda mfupi: Mlipuko wa kipindupindu umedhibitiwa.",,
9280,mlipwa,mtu ambaye analipwa,,
9281,mlisha,"mtu anayewapa watu chakula kwenye karamu | mtu anayewapa wanyama majani au malisho mengine, mtu anayewachunga wanyama malishoni",mlishi,
9282,mlishi,,,
9283,mlisho,udonoaji wa chambo kwenye ndoana ufanywao na samaki,,
9284,mliwa,mti ambao magome yake husagwa na unga wake kutengeneza rojorojo ambayo wanawake hujipaka kama manukato,,
9285,mlizamu,chombo kama bomba ambacho ni kipana upande wa juu na chembamba upande wa chini kitumiwacho kutilia majimaji kwenye kitu kwa mfano chupa au kibuyu chenye mdomo mdogo | mfereji mdogo unaotiririsha maji,mpare,
9286,mlizi,"mtu aghalabu mwanamke aliyefiwa, mwanamke mfiwa | mtoto anayelia sana mara kwa mara",,
9287,mlo,chakula kilichokuwa tayari kuliwa: Watu wengi hula mlo mmoja tu kwa siku.,,
9288,mlohasi,mlo usio kamili,,
9289,mlokole,muumini wa dini ya Kikristo anayedai kuwa ameokoka,,
9290,mlolongo,"mfuatano wa vitu, watu au wanyama ulio katika mstari mrefu","foleni, msururu, mkururo",
9291,mlombo,majani ya mbuyu yaliyopikwa na kuwa mboga,,
9292,mlongama,mti wenye magome ambayo husagwa ili kupata rangi ya manjano,,
9293,mlonge,mti laini wenye majani mepesi na yanayofanywa mboga unaozaa matunda marefu yanayoitwa singu na mara nyingi hutumiwa kujengea ua wa nyumba na kutengenezea dawa mbalimbali,mlonje,
9294,mloto,mstari wa pili katika shairi la mistari mitatu au zaidi kwa kila ubeti,,
9295,mlowezi,mtu aliyehamia nchi ya kigeni na kufanya maskani yake huko: Marekani ni nchi iliyoasisiwa na walowezi kutoka Uingereza.,setla,
9296,mlozi,"mtu anayeloga watu wengine, mtu anayetumia uchawi kudhuru watu wengine",,
9297,mlozi,"mti wenye matunda yaliyo na kiini kama cha kungu, mti unaozaa lozi",,
9298,mlumbaji,"mtu hodari wa kusema kwenye majadiliano, mtambaji maarufu wa mashairi",,
9299,mlumbi,msemaji hodari,,
9300,mlundikano,mkusanyiko wa vitu vingi pamoja,,
9301,mlungizi,mtu anayemfuata kiongozi fulani,mfuasi,
9302,mlungula,kitu kama vile fedha au huduma anayopewa mtu ili kutoa upendeleo kwa aliyetoa,rushwa,
9303,mlupo,"msichana mkware, msichana anayejirahisisha kwa wanaume ili afanye nao ngono",,
9304,mluzi,sauti nyembamba inayotoka katika midomo iliyofinywa na kuacha tundu nyembamba,mbinja,
9305,mmachinga,"mfanyabiashara ndogondogo anayetembeza bidhaa zake kutafuta wateja, mfanyabiashara anayeuza bidhaa kwenye magenge au njiani",mchuuzi,
9306,mmaka,mmea unaoota au kupandwa makaburini,msanapiti,
9307,Mmanga,Mwarabu mwenye asili ya Oman,,
9308,Mmarekani,mtu aliye raia wa nchi ya Marekani,,
9309,Mmasiya,muumini wa dini ya Kikristo,Mkristo,
9310,mmavimavi,mmea unaotambaa ambao majani yake yakipondwa hutoa harufu ya mavi ya kuku,,
9311,mmbea,mtu mwenye tabia ya kutafuta habari za watu na kuzisambaza,,
9312,mmbuji,mtu nadhifu,"mlimbwende, maridadi",
9313,mmea,"kitu chenye mizizi, shina, matawi na majani ambacho kina uhai na hutoa mbegu",,
9314,mmego,"kitu kilichomegwa | ukataji wa sehemu ya bonge la kitu kwa mfano ugali, unga wa ngano uliokandwa na kadhalika; tendo la kumega",,
9315,mmeng'enyo,tendo la kumeng''enya | usagaji wa chakula unaofanyika tumboni mwa binadamu ili mwili uweze kukitumia,,
9316,mmenyuko,mliko wa elementi unaotokea wakati elementi mbili zinapopambananishwa kwenye elektroliti,,
9317,mmeo,mtu anayependa kula sana aghalabu kwa pupa,"mlafi, mroho",
9318,mmilikaji,"mtu mwenye mali, mtu anayemiliki mali au utajiri fulani",,
9319,mmiminiko,"utiririshaji wa kitu cha majimaji, tendo la kumimina",,
9320,mmomonyoko,umegukaji wa ardhi unaosababishwa na kutiririka kwa maji: Mvua kubwa zilisababisha mmomonyoko wa udongo shambani. | hali ya kuharibika kwa tabia: Filamu za kigeni husababisha mmomonyoko wa maadili miongoni mwa vijana.,upotokaji,
9321,mmoyomoyo,mmea ambao mizizi yake ni dawa na matunda yake hutumiwa kufulia nguo kama sabuni,"mmwaka, mharita",
9322,mmung'unye,mmea unaotambaa wenye kuzaa mamung''unya,,
9323,mmwagiko,"utawanyikaji wa vitu vya punjepunje, majimaji au vya ungaunga; tendo la kumwagika",,
9324,mmwaka,mmoyomoyo,mharita,
9325,mmwangaluchi,mmea unaotambaa na kuzaa mbegu kama za kunde,"mtipitipi, mturituri",
9326,mmweko,mwangaza unaotoka na kuzimika harakaharaka: Mmweko wa radi ulionekana usiku.,,
9327,mnaa,"mtu jeuri na dhalimu, mtu mkorofi",,
9328,mnada,uuzaji wa vitu kwa kuzabuni,,
9329,mnadani,mahali ambapo bidhaa huuzwa kwa kushindania bei,,
9330,mnadhimu mkuu,ofisa wa jeshi wa cheo cha juu aliye chini ya mkuu wa majeshi: Rais amewateua wakuu wa majeshi na mnadhimu mkuu.,,
9331,mnadi,mtu anayetangazia watu jambo kwa sauti:Tuliamka tulipomsikia mnadi swala. | mtu anayeuza vitu kwa kutangaza bei kwa njia ya mnada,,
9332,mnadishaji,mtu anayeuza vitu kwa kutangaza bei kwenye mnada,,
9333,mnafiki,mtu anayefanya jambo kinyume na anavyoahidi,mzandiki,
9334,mnajimu,mtu mwenye elimu ya kutabiri matukio kwa kutumia elimu ya nyota | mtu aliye na maarifa ya mienendo ya nyota,,
9335,mnamo,ukingo wa jahazi au dau,,
9336,mnamo,katika kipindi maalumu: Nitawasili mnamo saa mbili asubuhi.,,
9337,mnana,rangi ya manjano itumiwayo kurembesha ukili,,
9338,mnana,ndege wa jamii ya nyomvi mwenye rangi ya manjano,,
9339,mnanaa,mmea wenye majani na maua ambayo yakifikichwa harufu yake hulewesha na kumfanya mtu kupoteza fahamu,,
9340,mnanasi,mmea unaofanana na mkonge ambao huzaa tunda lenye mibamiba ambalo likichongwa nyama yake huwa na maji matamu sana,,
9341,mnandi,ndege mkubwa mwenye shingo ndefu na miguu mifupi na rangi nyeupe tumboni anayeishi majini akitafuta samaki,,
9342,mnara,jengo refu lililosimama wima lililojengwa kwa ajili ya kuweka mitambo ya simu au ya matangazo ya redio na televisheni | kitu kirefu kilichosimamishwa kwa ajili ya kuonyeshea ishara,,
9343,mnaraha,mmea ulio na maua mapana yanayotumiwa kama dawa ya maradhi mbalimbali kwa mfano pumu,,
9344,mnasaba,uhusiano kati ya watu wa familia au koo tofauti: Mimi sina mnasaba na yeye.,,
9345,mnasihi,mtu anayetoa nasaha au ushauri kwa mtu au kikundi cha watu,,
9346,mnaso,"tendo la kunasa, hali ya kushikwa katika mtego au ulimbo",,
9347,mnato,"tendo la kunata, hali ya kugandamana",,
9348,mnavu,mmea wenye majani mapana yanayotumiwa kama mboga lakini yenye ladha chungu,,
9349,mnazaa,"jambo la kumfedhehesha mtu, jambo la kumvunjia mtu heshima",,
9350,mnazi,mmea mrefu usio na matawi wenye majani marefu yaliyo juu kileleni na ambao huzaa nazi | pombe inayogemwa kutoka kwenye mmea huu,,
9351,mndewa,kiongozi wa eneo dogo la utawala kwa mfano mtaa,jumbe,
9352,mndimu,mmea wa jamii ya mchungwa au mlimau wenye matunda madogo yenye ladha chachu,,
9353,mndule,kibanda cha kupumzikia wasafiri,,
9354,mnenaji,"mtu mwenye tabia ya kuongea mara kwa mara, mtu anayezungumza",,
9355,mnenguo,uchezeshaji kiuno kufuatia mdundo wa ngoma,,
9356,mneni,mtu anayezungumza kwa ustadi mkubwa,,
9357,mnepo,"hali ya kitu kukunjika na kunyooka, tendo la kunepa",,
9358,mneso,"tendo la kunesa, hali ya kupinda na kunyooka bila kuvunjika",,
9359,mng'ao,mwangaza unaotokana na kitu kinachotoa nuru: Mng''ao wa bati uliumiza macho yake.,,
9360,mngarengare,"aina ya samaki wa rangi nyeusi na nyeupe, mrefu, mnene asiyekuwa na magamba",,
9361,mngogwe,mmea unaozaa nyanya nyeupe ambazo zikiiva huwa manjano,"nyanyachungu, nyanya mshumaa",
9362,mng'ongo,mti mkubwa unaofanana na mkuyu wenye majani madogomadogo na matunda madogo ya mviringo yaitwayo ng''ongo ambayo huliwa,,
9363,mnguri,nyundo inayotumiwa na mshona viatu,pondea,
9364,mngurumo,"sauti nzito kama ile itolewayo na simba, radi au eropleni: Mngurumo wa radi ulimwamsha mtoto.",,
9365,mnimbi,samaki mwenye ukubwa wa wastani ambaye ngozi yake hung''aa,mwananumbi,
9366,mninga,mti unaotoa mbao ngumu zitumikazo kutengenezea fanicha,"mpagata, mtumbati, mkunguru",
9367,mning'inio,"tendo la kuning''inia, hali ya kushikilia juu bila kugusa chini",,
9368,mnju,kipande cha nyama kilicho juu ya kichwa cha ndege,undu,
9369,mno,"kuzidi mipaka, kupita kiasi: Hafai kuwa askari kwani ni mfupi mno.",,
9370,mnofu,nyama isiyokuwa na mifupa: Bei ya mnofu ni kubwa kuliko ya nyama mchanganyiko.,,
9371,mnoga,jani la tumbaku ambayo imekwisha kukaushwa,,
9372,mnoga,maradhi ya kutoka damu puani,,
9373,mnoko,mtu anayechonganisha watu | mtu mwenye roho mbaya,mchonganishi,
9374,mnokoa,mti wenye majani ambayo yakifikichwa hutoa harufu mbaya na miba iliyopinda kama ndoana,mkunungu,
9375,mnong'ono,habari ambazo hazijathibitishwa | sauti ya chinichini ambayo haisikiki ya watu wanaoongea jambo wasilotaka wengine walisikie,"fununu, tetesi, penyenye",
9376,mnufaishwa,mtu anayefaidika na jambo fulani,,
9377,mnukamavi,mmea unaotambaa wenye majani yanayotoa harufu kama mavi,mmavimavi,
9378,mnukauvundo,mmea wenye majani ambayo hutoa harufu mbaya yakifikichwa na hutumiwa kama dawa ya degedege,,
9379,mnukio,harufu iliyo nzuri kama marashi,,
9380,mnuko,ujaka,"uvundo, harufu mbaya",
9381,mnumanuma,"mtu anayedhaniwa kuwa huwadhuru wengine kwa uchawi, mtu mshirikina | mtu mwenye kugundua vitu | mtu mwenye ujuzi wa kutibu","mchawi, mvumbuzi, mganga",
9382,mnuna,ndugu mdogo wa mtu,,
9383,mnung'unikaji,mtu anayelalamika na asiyeridhika na anachopata,,
9384,mnung'uniko,"hali ya kutoridhika, tendo la kunung''unika",,
9385,mnunguri,mganga anayetibu mtu aliyeumwa na nyoka,mkonokono,
9386,mnuni,mtu mwenye tabia ya kununanuna,,
9387,mnuno,"hali ya kuchukia, ukaaji kimya baada ya kuchukizwa, tendo la kununa",,
9388,mnunuaji,mtu anayenunua vitu kwa ajili ya matumizi yake au ya wengine: Yeye ndiye mnunuaji wa nyama zinazoandaliwa kwenye hoteli ile.,,
9389,mnunuzi,mtu anayepata kitu kinachouzwa kwa kulipa fedha,,
9390,mnururisho,hali ya kutoka mionzi ya mwanga,,
9391,mnyaa,"mmea ambao majani yake hutumiwa kusukia kili za kutengeneza majamvi, vikapu au kamba",,
9392,mnyakuzi,mtu anayewapokonya watu vitu vyao,mnyang'anyi,
9393,mnyama,"kiumbe hai ambacho kwa kawaida huwa na miguu minne kwa mfano ng''ombe, sungura na kadhalika | mtu mwenye tabia ya ukatili, mtu asiye na ubinadamu: Majambazi hao walikuwa wanyama kwani waliwaua wafanyabiashara wanne na kupora mali yao.",,
9394,mnyamavu,"mtu asiyependa kuzungumza sana, mtu anayependa kukaa kimya",,
9395,mnyambuliko,uzalishaji wa maneno kwa kuambatisha vipande vya neno katika mzizi wa neno,,
9396,mnyambuo,tendo la kuchambua vitu vilivyoshikamana ili viachane,,
9397,mnyang'anyi,mwizi anayeiba kwa kutumia nguvu au mabavu,,
9398,mnyange,mtu mwenye umbo la kuvutia,"mtu nadhifu, mtanashati",
9399,mnyanya,mmea unaozaa nyanya, mmea unaozaa matunda ambayo yakiiva huwa mekundu au ya njano yanayotumiwa kuungia mboga au kutengenezea kachumbari,
9400,mnyanyasaji,mtu anayekandamiza na kuonea wengine,mdhalilishaji,
9401,mnyanyuo,"tendo la kunyanyua, hali ya kuinua kitu na kukipandisha juu",,
9402,mnyapara,mtu anayesimamia kazi ili kuhakikisha kuwa inafanywa kama inavyotakiwa | kiongozi wa msafara wa watu wanaotembea kwa miguu,msimamizi,
9403,mnyara,mmea usio na majani ila vijitawi vidogo vinavyochipua kwenye matawi na wenye utomvu mweupe,,
9404,mnyegea,mti wenye majani mapana unaozaa matunda marefu yanayoning''inia kwenye kamba ndefu kutoka kwenye tawi,"mvungunya, mwegea",
9405,mnyegeo,hali ya mwili kujisikia kuwashwa na kutaka kujikuna katika sehemu za mwili kwa mfano kidonda,,
9406,mnyela,"mtu anayeonewa na wenzake, mtu mnyonge",,
9407,mnyengeo,hali ya kuwashwa,mwasho,
9408,mnyengeresho,"hali ya kutia nyege, tendo la kutia nyege",,
9409,mnyenyekeo,hali ya kunyenyekea,utiifu,
9410,mnyenyekevu,"mtu mwenye tabia ya kunyenyekea, mtu mtiifu",,
9411,mnyeo,hamu ya kutaka kujikuna kidonda kinachotaka kupona,,
9412,mnyimbi,"samaki mrefu mwenye umbo la mviringo na mdomo mfupi, rangi nyeupe tumboni na magamba makubwa",,
9413,mnyimi,"mtu asiyependa kutoa kitu chake kwa wengine, mtu mchoyo",,
9414,mnyiri,mkono wa ngisi au pweza,,
9415,mnyiririko,"namna ya kupita kwa kuteleza kama afanyavyo nyoka anapopita juu ya kuni, tendo la kunyiririka",,
9416,mnyo,mkono wa pweza au ngisi,"mnyiri, mwinyo",
9417,mnyofu,mtu mwaminifu anayefuata maadili ya dini,,
9418,mnyonge,"mtu asiye na nguvu, mtu dhaifu | mtu maskini | mtu mpole na mnyenyekevu","mchochole, kabwela",
9419,mnyonyore,mti unaofanana na mbono unaoota porini,mboni mwitu,
9420,mnyoo,"mdudu kama mchango anayekwenda kwa kujipindapinda kama mwata, choo na kadhalika | mchango mweupe mrefu unaokaa katika tumbo la mnyama",,
9421,mnyororo,kamba ya vipande vidogo vya chuma vilivyounganishwa pamoja kama mkufu,silisili,
9422,mnyukuo,tendo la kunyukua, hali ya kufinya kwa kucha za vidole,
9423,mnyumbuko,"tendo la kunyumbuka, hali ya kuvuta kitu kinachovutika kama mpira",,
9424,mnyunyizo,"tendo la kunyunyiza, hali ya kumwaga vitu vya majimaji au ungaunga",,
9425,mnyuso,sauti inayofanywa kwa midomo kuonyesha dharau,"mfyonyo, msonyo",
9426,mnywanywa,mtu ambaye huona kinyaa kwa kila kitu anachokiona | mtu asiyeridhika na mambo yafanywayo na wengine, mtu asiyethamini mchango wa watu wengine | mtu mwenye tabia ya kuchagua chakula,"mtaaradhi, machagu, mbeuzi"
9427,mnyweo,hali ya kusinyaa au kukunjamana | hali ya kukosa nguvu | hali ya kujikunyata kwa hofu,,
9428,mochari,chumba au sehemu ya kuhifadhia maiti,,
9429,modeli,"mtindo wa kitu kilichotengezwa kwa mfano mavazi, magari, na kadhalika",,
9430,modereta,msimamizi wa mjadala au mchezo | mtu anayepitia mitihani na kusawazisha maswali yaliyotungwa,,
9431,mofa,mkate wa duara unaotengenezwa kwa nafaka kwa mfano mtama,,
9432,mofimu,"kipashio cha lugha ambacho ni kidogo kuliko neno chenye maana kisarufi ambacho huungana na vipashio vingine kuunda neno, kwa mfano neno ''mchezaji'' huundwa na mofimu nne",,
9433,mofolojia,tawi la isimu linalohusika na uchambuzi na uchanganuzi wa kanuni na mifumo inayohusu upangaji wa maneno katika lugha,,
9434,moja,neno la kuwakilisha tarakimu ya kwanza ''1'' katika hesabu,,
9435,moja,"-a kwanza, -enye thamani ya kwanza, kivumishi cha idadi kamili kinachomaanisha -a kwanza, au -a pekee: Nina nyumba moja tu.",,
9436,moja moja,-a kitu kimoja: Walikula tunda moja moja.,,
9437,moja moja,kwa mfuatano wa kitu kimoja baada ya kingine: Waliingia darasani mmoja mmoja.,,
9438,mojawapo,"miongoni mwa vitu vilivyopo, kimoja kati ya vingi: Alichagua kitabu kimojawapo kati ya vitabu nilivyomletea.",,
9439,Mola,Mungu: Mola atatunusuru na janga hili.,Muumba,
9440,moma,nyoka wa madoadoa anayetema mate yenye sumu,,
9441,moma,enea mahali pengi,"tapakaa, sambaa","momea, momeka, momesha"
9442,momonyoa,vunjavunja kitu laini kwa mfano mvua ifanyavyo kwenye udongo laini wakati maji yanapotiririka juu ya ardhi,,"momonyoka, momonyolea, momonyolewa, momonyesha"
9443,monasteri,nyumba kubwa ya watawa,,
9444,mong'onyoa,"vunja kitu kilichoshikamana kama mkate, keki au bonge la udongo; mega sehemu ya kitu kilichoshikamana kama bonge: Alimong''onyoa mkate kidogokidogo na kuumaliza.",,
9445,monita,"sehemu ya kompyuta ambapo ujumbe, taarifa au picha huonyeshwa ambayo inafanana na runinga","mlishi, kiwambo",
9446,monyoa,kula kwa pupa kitu laini kwa kukijaza tele mdomoni | chezesha kiuno kwa kukizungushazungusha,kata kiuno,"monyoka, monyolea, monyolesha, monyolewa"
9447,moo,mguu, : Shikamoo -> nashika miguu yako,
9448,morali,ari ya kufanya jambo kwa bidii: Walishindwa kwa sababu hawakuwa na morali ya mchezo.,,
9449,moramu,mchanga wenye punje kubwa kama kokoto ndogo zinazotumiwa kutengenezea matofali au kujengea barabara,,
9450,mori,ngo''mbe jike ambaye hajazaa bado | mafuta yaliyo katika kidari cha ng''ombe,mtamba,
9451,mori,hasira anayopata mtu kwa kuzuiwa kulipiza kisasi, : shikwa na mori / pandwa na mori / ingiwa na mori / kula mori -> ingiwa na hasira kali | msisimko unaompata mtu anaposhikilia jambo analotaka | dawa ya kumtia mtu mori,jazba
9452,mori,hamu kubwa ya kufanya jambo: Nina mori wa kwenda Mombasa.,,
9453,morita,kipimo cha urefu kati ya kidole gumba na kidole cha shahada,,
9454,moshi,"wingu jepesi au zito linalotokana na kuungua kwa kitu kwa mfano nyasi, kuni, taka na kadhalika | hewa inayotoka kwenye kinywa cha mtu wakati wa baridi kali | mvuke unaotoka juu ya barabara ya lami baada ya mvua kunyesha na kufuatiwa mara na kuwaka kwa jua",,
9455,moshi,pombe haramu inayotengenezwa kwa kukeneka matunda au vitu vilivyochachuka,"gongo, piwa, chang'aa, tende",
9456,mosi,"awali, -liotangulia",,
9457,mota,mtambo wa kuendesha mashine ambao ukitiwa kwenye chombo kama vile gari au boti hukiwezesha kwenda,,
9458,motaboti,boti au mashua inayoendeshwa kwa mota au injini,,
9459,motifu,mada inayojirudiarudia katika kazi ya sanaa, mada wazo kuu | rangi au ruwaza inayorudiarudia katika mchoro,
9460,motisha,kitu anachopewa mtu au matarajio ya kupata kitu ambayo huwa ni kichocheo cha kufanya jambo,,
9461,motisha,hamasisha mtu kufanya kitu kwa ahadi ya kupewa kitu iwapo atatekeleza aliloagizwa,,"motishana, motishia, motishiana, motishika, motishiwa, motishwa"
9462,moto,mwako wa kiunguacho | hamu ya kitu iliyokithiri:Ana moto kweli kweli wa kumwona mpenzi wake. | hasira,,
9463,motokaa,gari dogo linaloenda kwa kutumia injini,,
9464,motomoto,-sio poa: Nilizikuta chapati zikiwa motomoto. | -enye kusisimua: Magoma motomoto yalipamba harusi yake.,,
9465,motoni,mahali ambapo roho za watu wenye dhambi huenda baada ya kifo,jehanamu,
9466,moyo,kiungo kilicho katika mwili ambacho husukuma damu na kuieneza mwilini kote | ari au nia ya dhati ya kutenda jambo:Kazi hii yahitaji moyo. | wema | kiini cha mti au mmea:Moyo wa mpingo ni mweusi.,ukarimu,
9467,moza,mpangilio wa vitu vilivyosimama au vinavyokwenda kwa kufuatana kimoja nyuma ya kingine,"msururu, foleni",
9468,mpaazo,"tendo la kupaaza; usagaji wa punje kwa mfano mahindi, ulezi, mtama na kadhalika",,
9469,mpagani,mtu asiyefuata imani yoyote ya dini,,
9470,mpagao,"hali ya kupagawa, hali ya kuingiwa na pepo mbaya kichwani",,
9471,mpagata,"mti utoao mbao ngumu zitumikazo kutengenezea fanicha, milango na kadhalika","mninga, muhagata, mtumbati",
9472,mpagazi,"mtu ambaye hufanya kazi ya kubeba mizigo, mtu anayebeba mizigo","mchukuzi, hamali",
9473,mpaje,shina bichi la mtama ambalo ni tamu kama muwa,,
9474,mpaji,"mtu mwenye kutoa kitu kwa wengine, mtu anayewapa wengine vitu",,
9475,mpaka,mahali panapotenganisha kiwanja au shamba moja na kiwanja au shamba jingine: Mti huu ndio mpaka kati ya shamba langu na lako. | mahali ambapo nchi mbili zinakutana: Mto Ruvuma ni mpaka kati ya Tanzania na Msumbiji.,,
9476,mpaka,hadi: Nilimtafuta mpaka nikamwona, Alifanya kazi mpaka asubuhi.,
9477,mpakizi,"mtu anayepakia mizigo kwenye chombo cha usafiri kwa mfano lori, meli na kadhalika",,
9478,mpako,"namna ya kupaka rangi au mafuta, tendo la kupaka",,
9479,mpakuzi,mtu anayepakua mizigo katika chombo cha usafiri,,
9480,mpalilio,"tendo la kupalilia, namna ya kuondoa magugu katika shamba lenye mimea",,
9481,mpalizi,"mtu anayepalilia shamba, mtu anayeondoa magugu katika shamba",,
9482,mpamba,mmea unaozaa matunda madogo ambayo yakikomaa hutoa sufi nyeupe ambayo hutengenezewa nyuzi za kufuma nguo,,
9483,mpambaji,"mtu anayetia urembo au mapambo, mtu anayepamba: Mpambaji wa ukumbi alitumia vitambaa na maua ya rangi mbalimbali.",,
9484,mpambano,"hali ya kushikamana kwa matukio, mfuatano wa matukio au mambo",,
9485,mpambano,"tendo la kupambana, hali ya kushindana: Mpambano baina ya timu uliisha pasi na mshindi.",,
9486,mpambauke,mmea unaofanana na muafu ambao una maua yanayonukia vizuri,,
9487,mpambe,"mtu anayemsindikiza na kumhudumia bwana au bi harusi: Maharusi waliingia ukumbini na wapambe wao. | mlinzi wa mtu maarufu ambaye huwa karibu naye wakati wote | mtu anayejiremba na kuwa maridadi, mtu anayependa kujipamba",,
9488,mpanda farasi,mtu anayepanda farasi,,
9489,mpande,utenganishaji nywele katika kichwa wakati wa kusuka,,
9490,mpando,namna ya kupanda mbegu shambani: Kwa mpando huu utapata mazao kidogo. | msimu wa kupanda mbegu: Katika mpando wa kwanza mbegu hazikuota.,,
9491,mpangaji,mtu mwenye kuweka vitu vyake katika utaratibu maalumu,,
9492,mpangaji,mtu anayekodishwa nyumba isiyo yake kwa malipo,,
9493,mpangilio,kuweka mambo au vitu kwa kufuata utaratibu uliowekwa,,
9494,mpangishaji,mtu anayewapatia watu nyumba au chumba cha kuishi au cha kufanyia biashara kwa malipo,,
9495,mpango,"sera, kanuni, mwenendo, mkakati wa utekelezaji wa jambo fulani | namna ya kupanga vitu, uwekaji vitu kwa utaratibu fulani",,
9496,mpanzi,mtu apandaye mbegu au mimea shambani,mpandaji,
9497,mpapai,"mmea wenye shina refu lisilo na matawi lenye majani mapana yaliyo juu kileleni ambayo yana vikonyo virefu vilivyo na uwazi ndani, mmea unaozaa mapapai",,
9498,mpapaso,"tendo la kupapasa, ugusaji taratibu kwa kutumia ncha za vidole",,
9499,mpapatiko,"hali ya kupigapiga mbawa kama afanyavyo kuku anapokamatwa, hali ya kuhangaika",,
9500,mpapindi,mti wa jamii ya mnazi wenye matunda madogo mekundu ambayo huliwa baada ya kusagwa,,
9501,mpapure,fimbo anayotumia kungwi kumchapa mwari aliyeshindwa kutambua mizungu unyagoni,,
9502,mpapuro,"tendo la kupapura, ukwaruzaji kwa kutumia kitu chenye ncha kama vile kucha za kuku au paka",,
9503,mparachichi,mti mkubwa unaofanana na mwembe unaozaa parachichi,,
9504,mparaganyo,"tendo la kuparaganya, hali ya kuvuruga",mvurugo,
9505,mparamuzi,mti mrefu wenye shina la njano na linaloteleza na matawi yaliyo juu sana,"mgude, mfune",
9506,mparazo,nafaka zilizovunjwavunjwa kwa kinu au mashine ya kusaga na kuwa chengachenga,,
9507,mpare,chombo kama bomba ambacho ni kipana upande wa juu na chembamba upande wa chini kitumiwacho kutilia majimaji kwenye kitu kwa mfano chupa au chombo chenye mdomo mdogo,mlizamu,
9508,mparuzi,"mtu anayefanya kazi hobelahobela, mtu asiyefanya kazi kwa makini",,
9509,mparuzo,alama ya kuparuzwa inayobaki mahali | tendo la kuparuza,,
9510,mpasi,mtu anayeweza kupata mahitaji yake bila shida,,
9511,mpasi,mtu aliye na uhasama na wengine,,
9512,mpasuasanda,"ndege wa rangi ya kahawia iliyokolea, madoa meupe kifuani na mbawa zenye manyoya mawili yaliyochomoza","gawa, nyomvi",
9513,mpasuko,ufa mkubwa ulio mahali | sauti ya kupasuka kwa kitu | mgawanyiko wa kijamii,,
9514,mpasuo,"tendo la kupasua, namna ya kupasua; tendo la kutia mwanya",,
9515,mpatanishi,mtu anayefanya watu au pande mbili zinazogombana ziafikiane,,
9516,mpato,matete au vijiti vilivyofungwa pamoja ambavyo huelea majini kwa lengo la kunasa samaki,"dema, pungu",
9517,mpayukaji,"msema ovyo, asemaye maneno yasiyokuwa na uzito au maana yoyote",mropokaji,
9518,mpea,mti wenye matunda kama mapera lakini yaliyo na uwazi ndani,,
9519,mpekecho,utoboaji wa tundu kwa kutumia chombo kinachozunguka wakati wa kuchimba | uzungushaji wa kitu kilichoshikwa baina ya viganja viwili vya mkono vilivyoshikamana ili kutoboa au kuwasha moto | ukorogaji wa kitu cha majimaji kwa kipekecho | uchocheaji ugomvi |,,
9520,mpekepeke,mtu anayedadisi mambo yasiyomuhusu,,
9521,mpeketevu,mtu mwenye kuchochea ugomvi,,
9522,mpekuzi,"mtu ambaye anadadisi mambo, mtu anayechunguzachunguza mambo | mtu anayepekua vitu hasa kwa lengo la kuiba",,
9523,mpelelezi,"mtu anayechunguza watu ili kujua mambo wanayofanya, mtu anayetafuta habari za wahalifu ili kujua uhalifu walioutenda au kuwakamata",,
9524,mpemba,aina ya mhogo laini uivao haraka,,
9525,mpembuzi,mtu anayechambua mambo ili kujua undani wake | mtu anayechambua vitu ili kuvitenga vilivyo bora na vile visivyo bora,,
9526,mpendependapo,mmea wenye majani membamba na matunda yanayoota mengi katika kikonyo ambayo ni meusi yanapokuwa mabichi na yakiiva huwa mekundu,,
9527,mpendwa,mtu anayependwa,"mpenzi, laazizi, muhibu",
9528,mpenyezo,upitishaji kitu kwenye tundu ndogo | upitishaji kitu au jambo kwa siri,,
9529,mpenzi,mtu anayependwa na mtu mwingine hususan wa jinsia tofauti,"mpendwa, sahibu, mahabubu",
9530,mpepea,mvua inayopeperushwa na upepo na kuingia ndani ya nyumba,,
9531,mpepeaji,mtu anayepepea kitu ili kupata hewa iliyopoa,,
9532,mpepeta,mtu anayerusha nafaka katika ungo ili kuondoa takataka,,
9533,mpepetaji,mtu anayerusharusha nafaka katika ungo ili kutenga nafaka na taka,,
9534,mpepezi,,,
9535,mpera,mti wenye majani yaliyochongoka ambayo huzaa matunda yenye mbegu nyingi ndogo na ngumu na ambayo yakiiva huliwa sana na ndege na watu,,
9536,mperampera,(kwa chombo cha majini) ubavuubavu: Kabla ya chombo kuzama kiliyumba na kwenda mperampera.,,
9537,mpesi,mti wenye magome ambayo hutumiwa kutengenezea rangi ya kusugulia mikanda ili kuiimarisha,"kipia, mkasiri",
9538,mpeta,karafuu ambazo zimeanguka zenyewe kutoka mtini,,
9539,mpigadebe,mtu anayewaita abiria katika kituo cha mabasi ili awapakie ndani ya basi | mtu atoaye kauli au maelezo ya utetezi kwa niaba ya mtu au watu wengine,,
9540,mpigadomo,mtu anayekaa bure na kuongea maneno yasiyo na maana,domokaya,
